Pattern         		
IR_J-162_70     	ND_J-162_70     	Meter_J-162_70     
IR_J-162_90     	ND_J-162_90     	Meter_J-162_90     
IR_J-162_110    	ND_J-162_110    	Meter_J-162_110    
IR_J-162_130    	ND_J-162_130    	Meter_J-162_130    
IR_J-162_150    	ND_J-162_150    	Meter_J-162_150    
IR_J-162_170    	ND_J-162_170    	Meter_J-162_170    
IR_J-162_190    	ND_J-162_190    	Meter_J-162_190    
IR_J-162_210    	ND_J-162_210    	Meter_J-162_210    
IR_J-162_230    	ND_J-162_230    	Meter_J-162_230    
IR_J-162_250    	ND_J-162_250    	Meter_J-162_250    
IR_J-162_270    	ND_J-162_270    	Meter_J-162_270    
IR_J-162_290    	ND_J-162_290    	Meter_J-162_290    
IR_J-162_310    	ND_J-162_310    	Meter_J-162_310    
IR_J-162_330    	ND_J-162_330    	Meter_J-162_330    
IR_J-162_350    	ND_J-162_350    	Meter_J-162_350    
IR_J-211_10     	ND_J-211_10     	Meter_J-211_10     
IR_J-211_30     	ND_J-211_30     	Meter_J-211_30     
IR_J-211_50     	ND_J-211_50     	Meter_J-211_50     
IR_J-211_70     	ND_J-211_70     	Meter_J-211_70     
IR_J-211_90     	ND_J-211_90     	Meter_J-211_90     
IR_J-211_110    	ND_J-211_110    	Meter_J-211_110    
IR_J-211_130    	ND_J-211_130    	Meter_J-211_130    
IR_J-211_150    	ND_J-211_150    	Meter_J-211_150    
IR_J-211_170    	ND_J-211_170    	Meter_J-211_170    
IR_J-211_190    	ND_J-211_190    	Meter_J-211_190    
IR_J-211_210    	ND_J-211_210    	Meter_J-211_210    
IR_J-211_230    	ND_J-211_230    	Meter_J-211_230    
IR_J-211_250    	ND_J-211_250    	Meter_J-211_250    
IR_J-211_270    	ND_J-211_270    	Meter_J-211_270    
IR_J-211_290    	ND_J-211_290    	Meter_J-211_290    
IR_J-211_310    	ND_J-211_310    	Meter_J-211_310    
IR_J-211_330    	ND_J-211_330    	Meter_J-211_330    
IR_J-211_350    	ND_J-211_350    	Meter_J-211_350    
IR_J-150_10     	ND_J-150_10     	Meter_J-150_10     
IR_J-150_30     	ND_J-150_30     	Meter_J-150_30     
IR_J-150_50     	ND_J-150_50     	Meter_J-150_50     
IR_J-150_70     	ND_J-150_70     	Meter_J-150_70     
IR_J-150_90     	ND_J-150_90     	Meter_J-150_90     
IR_J-150_110    	ND_J-150_110    	Meter_J-150_110    
